"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"1PIN,1PIN,1PIN,1PIN";"1pin";4;"P***";;;
2;"P2,P1";"SIL-2";2;"CONN_2";;;
3;"U15,U14,U13,U12,U11,U10,U9,U8,U7,U6,U5,U4";"LEDMatrix_8x8_bicolor";12;"8X8-G/R-LED_MATRIX";;;
4;"U3,U2,U1,U22,U23,U24,U25,U18,U21,U20,U19";"DIP-16__300_ELL";11;"74HC595";;;
5;"U16";"TO220_VERT";1;"7805";;;
6;"R36,R19,R35,R34,R18,R22,R38,R39,R23,R21,R37,R33,R20,R30,R8,R24,R25,R9,R11,R27,R26,R10,R14,R17,R31,R15,R13,R29,R28,R12,R16,R32,R6,R4";"R3";34;"470";;;
7;"R42,R58,R59,R43,R41,R57,R56,R44,R40,R1,R7,R5,R3,R2,R52,R68,R69,R53,R55,R71,R70,R54,R50,R60,R61,R45,R47,R63,R62,R46,R48,R64,R65,R49,R51,R67,R66";"R3";37;"1k";;;
8;"D1";"C2";1;"DIODE";;;
9;"C1,C2";"C1V7";2;"C";;;
10;"SW2,SW3,SW4";"SW_SLIDE";3;"SWITCH_INV";;;
11;"P3";"SIL-4";1;"CONN_4";;;
12;"U17";"RBBB_ARDUINO";1;"RBBB_ARDUINO";;;
13;"SW1";"SW_TACT";1;"SW_TACTILE";;;
